COD_ID_PRODUTO,DES_PRODUTO,total_vendido
72813,PAPEL HIG CAMERATTA 30M C/40 F DUPL,23315.00
102813,PEDRA SANITARIA SANI-ALL PLUS DE LAVANDA 35G,23263.00
61621,SALG TEMABI 100G BACON,23186.00
11521,CERV ANTARCTICA SUBZERO 350ML LT,23174.00
96947,MASSA NORDESTE 500G C/O RIGATONI,23005.00
101195,PIZZA LEBON FRANGO COM REQUEIJ?O CONGELADA 400G,22915.00
5639,ARROZ BLUE VILLE 1KG PARBO T1,22903.00
93693,SABONETE FARNESE 180G LAVANDA,22895.00
75377,PANETTONE FESTTONE 400G *GOTAS CHOC,22867.00
96901,REFRIG SARANDI 2L LARANJINHA,22855.00
1383,SAL PIRATA GROSSO P/ CHURRASCO 1KG,22829.00
19540,CARNE SUINA KG COSTELA CONG,22799.79
98772,"MACARR?O INSTANTANEO ISABELA LAMEN GALINHA CAIPIRA PACOTE 74,3G",22699.00
40619,CERV BRAHMA 300ML CHOPP S/CASCO,22691.00
90708,BISC RECH BAUDUCCO 140G GULOSOS DUPLO CHOCOLATE,22609.00
71159,ARROZ GASPARIN 5KG PARBOILIZADO,22541.00
101964,PANETTONE NOVITA 400G ITALIA .MIA TRUFADO CHOC,22466.00
95675,PAO QUEIJO BAO DE MINAS 1KG TRADICIONAL,22466.00
80434,HAMBURGUER CHULETAO 112G CONG BOVINO,22435.00
6895,MACARRAO GERMANI 63G GALINHA CAIPIRA,22434.00
7513,*FAROFA PRONTA YOKI 250G,22433.00
10438,FARINHA DE TRIGO MARIA INES 5KG,22213.00
68346,CREME DENT CLOSE-UP 70G TRIPL MENTA,22154.00
